,yshort_name,igribparam,igribtable,itype_emiss,itype_flux,yunits,ystandard_name,ylong_name,ytype_adv,ytype_diff,ytype_turbmix,ytype_passconv,ytype_ini,ytype_lbc,ytype_bbc,ytype_relax,ytype_damp,ytype_clip,ldecay,lifetime,itype_tscale,ycatl,ytpl,yvpl
#,,,,,,,,,,,,,,,,,,,,,,,,
,CO2_BG,10,13,0,0,kg kg-1,CO2_mass_fraction_background,Background mass fraction of CO2,on,off,1D,on,file,file,zero_flux,full,on,off,.FALSE.,0,,,,
,CO_BG,11,13,0,0,kg kg-1,CO_mass_fraction_background,Background mass fraction of CO,on,off,1D,on,file,file,zero_flux,full,on,off,.FALSE.,0,,,,
,CH4_BG,12,13,0,0,kg kg-1,CH4_mass_fraction_background,Background mass fraction of CH4,on,off,1D,on,file,file,zero_flux,full,on,off,.FALSE.,0,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,CO2_GPP,20,13,0,2,kg kg-1,CO2_mass_fraction_surface_flux_gpp,Mass fraction of CO2 by gross primary production (GPP),on,off,1D,on,zero,zero,zero_flux,full,off,off,.FALSE.,0,,,,
,CO2_RA,21,13,0,2,kg kg-1,CO2_mass_fraction_surface_flux_ra,Mass fraction of CO2 by gross respiration (RA),on,off,1D,on,zero,zero,zero_flux,full,off,off,.FALSE.,0,,,,
#,CO2_GPP_X,22,13,0,2,kg kg-1,CO2_mass_fraction_surface_flux_gpp_no_ZH,Mass fraction of CO2 by gross primary production (GPP) outside Zurich,on,off,1D,on,file,file,zero_flux,full,off,off,.FALSE.,0,,,,
#,CO2_RA_X,23,13,0,2,kg kg-1,CO2_mass_fraction_surface_flux_ra_no_ZH,Mass fraction of CO2 by gross respiration (RA) outside Zurich,on,off,1D,on,file,file,zero_flux,full,off,off,.FALSE.,0,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,CO2_A,30,13,2,0,kg kg-1,CO2_mass_fraction_anthropogenic,Mass fraction of CO2 by anthropogenic emissions,on,off,1D,on,zero,zero,zero_flux,full,off,off,.FALSE.,0,1,"'CO2_A', 'CO2_B', 'CO2_C', 'CO2_D', 'CO2_E', 'CO2_F', 'CO2_G', 'CO2_H', 'CO2_I', 'CO2_J', 'CO2_K', 'CO2_L', 'CO2_M'","'GNFR_A', 'GNFR_B', 'GNFR_C', 'GNFR_D', 'GNFR_E', 'GNFR_F', 'GNFR_G', 'GNFR_H', 'GNFR_I', 'GNFR_J', 'GNFR_K', 'GNFR_L', 'GNFR_I'","'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources'"
#,CO2_A_X,31,13,2,0,kg kg-1,CO2_mass_fraction_anthropogenic,Mass fraction of CO2 by anthropogenic emissions outside Zurich,on,off,1D,on,file,file,zero_flux,full,off,off,.FALSE.,0,1,"'CO2_A_X', 'CO2_B_X', 'CO2_C_X', 'CO2_D_X', 'CO2_E_X', 'CO2_F_X', 'CO2_G_X', 'CO2_H_X', 'CO2_I_X', 'CO2_J_X', 'CO2_K_X', 'CO2_L_X', 'CO2_M_X'","'GNFR_A', 'GNFR_B', 'GNFR_C', 'GNFR_D', 'GNFR_E', 'GNFR_F', 'GNFR_G', 'GNFR_H', 'GNFR_I', 'GNFR_J', 'GNFR_K', 'GNFR_L', 'GNFR_I'","'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources'"
,CO_A,32,13,2,0,kg kg-1,CO_mass_fraction_anthropogenic,Mass fraction of CO by anthropogenic emissions,on,off,1D,on,zero,zero,zero_flux,full,off,off,.FALSE.,0,1,"'CO_A', 'CO_B', 'CO_C', 'CO_D', 'CO_E', 'CO_F', 'CO_G', 'CO_H', 'CO_I', 'CO_J', 'CO_K', 'CO_L', 'CO_M'","'GNFR_A', 'GNFR_B', 'GNFR_C', 'GNFR_D', 'GNFR_E', 'GNFR_F', 'GNFR_G', 'GNFR_H', 'GNFR_I', 'GNFR_J', 'GNFR_K', 'GNFR_L', 'GNFR_I'","'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources', 'area_sources'"
,CH4_A,33,13,2,0,kg kg-1,CH4_mass_fraction_anthropogenic,Mass fraction of CH4 by anthropogenic emissions,on,off,1D,on,zero,zero,zero_flux,full,off,off,.FALSE.,0,1,'CH4','GNFR_I','area_sources'
