,yshort_name,igribtable,igribparam,irank,yunits,ystandard_name,ylong_name,yfamily,ylsm,lderived,loutput,lrequired,lnested,lcompress,ldryin
#,,,,,,,,,,,,,,,,,,,,,
,CO2_BG,243,10,3,kg kg-1,time-varying_CO2_mass_fraction_at_lateral_boundary,time-varying CO2 mass fraction at lateral boundary,t, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,CO2_A_E,243,11,3,kg m-2 s-1,time-varying_CO2_emissions,time-varying CO2 emissions,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,CO2_GPP_F,243,12,2,kg m-2 s-1,time-varying_CO2_surface_flux_from_gross_photosynthetic_production,time-varying CO2 surface flux from gross photosynthetic production,f, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,CO2_RA_F,243,13,2,kg m-2 s-1,time-varying_CO2_surface_flux_from_respiration,time-varying CO2 surface flux from respiration,f, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
#,,,,,,,,,,,,,,,,,,,,,
,CO_BG,243,20,3,kg kg-1,mass_fraction_of_carbon_monoxide_in_air_background,mass fraction of CO background,t, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,CO_A_E,243,21,3,kg m-2 s-1,tend_of_atm_mass_content_of_carbon_monoxide_due_to_anthrop_emission,tendency of atm mass content of CO due to anthropogenic emission,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
#,,,,,,,,,,,,,,,,,,,,,
,CH4_BG,243,30,3,kg kg-1,mass_fraction_of_methane_in_air_background,mass fraction of CH4 background,t, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
,CH4_A_E,243,31,3,kg m-2 s-1,tend_of_atm_mass_content_of_methane_due_to_anthrop_emission,tend of atm mass content of CH4 due to anthropogenic emission,e, ,.FALSE.,.TRUE.,.FALSE.,.FALSE.,.TRUE.,.TRUE.
