# name, least_significant_digit
U, 2
V, 2
W, 3
T, 2
P, 1
QV, 8
QC, 8
QI, 8
CLC, 3
TKE, 3
T_SO, 2
W_SO, 3
W_SO_ICE, 4
PS, 1
PMSL, 6
CLCT, 3 
CLCH, 3 
CLCM, 3 
CLCL, 3 
U_10M, 2
V_10M, 2
T_2M, 2
TD_2M, 2 
T_S, 2
QV_S, 8
RELHUM_2M, 3
ALHFL_S, 2
ASHFL_S, 2
AUMFL_S, 4
AVMFL_S, 4
ASOB_S, 2
ATHB_S, 2
APAB_S, 2
ASWDIR_S, 2 
ASWDIFD_S, 2
ASWDIFU_S, 2
ATHD_S, 2
ALB_RAD, 6
HPBL, 1
H_SNOW, 3
W_SNOW, 3 
Z0, 6
TCM, 6
TCH, 6
RAIN_GSP, 2
SNOW_GSP, 2
RAIN_CON, 2
SNOW_CON, 2
TOT_PREC, 2
PRR_GSP, 8
PRS_GSP, 8
PRG_GSP, 8
TWATER, 6
TQV, 6
TQC, 6
TQI, 6
TQR, 6
TQS, 6
TQG, 6
CO2_BG, 2
CO2_A, 2
CO2_GPP, 2
CO2_RA, 2
CO_BG, 1
CO_A, 1
CH4_BG, 1
CH4_A, 1
